dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
5.87736584975352E+017,240.9379,26.89308,0.0888043,6.358417,0.9737805,1.404423,3919,3,40,245,S,fpC-003919-r3-0245.fit.gz
5.87745541050925E+017,140.9392,13.46942,0.0509387,4.811784,0.9733747,1.224832,6004,5,40,169,S,fpC-006004-r5-0169.fit.gz
5.8773940787662E+017,238.0773,23.34331,0.0318307,9.883538,0.9733245,1.398705,4576,5,40,764,S,fpC-004576-r5-0764.fit.gz
5.87742593085276E+017,209.9294,15.34283,0.0411844,6.771747,0.9730498,1.324581,5318,2,40,55,S,fpC-005318-r2-0055.fit.gz
5.87733081349686E+017,183.9795,55.51467,0.0652109,4.283944,0.9729962,1.270874,3103,5,40,152,S,fpC-003103-r5-0152.fit.gz
5.88017991234749E+017,223.1376,7.714778,0.0346296,4.271291,0.9725366,1.260049,3903,3,41,278,S,fpC-003903-r3-0278.fit.gz
5.87741708870353E+017,143.9836,21.28139,0.049721,3.776783,0.9724425,1.064994,5112,3,40,230,S,fpC-005112-r3-0230.fit.gz
5.87737808501277E+017,134.8795,59.49564,0.0438517,5.637641,0.9723176,1.471392,4204,2,40,201,S,fpC-004204-r2-0201.fit.gz
5.87742629064868E+017,229.8289,13.12608,0.0345717,7.298659,0.972242,1.368066,5326,5,40,196,S,fpC-005326-r5-0196.fit.gz
5.87739827672711E+017,233.4565,18.68017,0.0525521,4.0443,0.9719523,1.160413,4674,3,40,200,S,fpC-004674-r3-0200.fit.gz
5.8773360425599E+017,215.5384,56.00139,0.041243,9.559181,0.9719343,1.318144,3225,3,40,61,S,fpC-003225-r3-0061.fit.gz
5.88017725477225E+017,191.8798,7.635417,0.0820045,3.388292,0.9718015,1.00102,3841,4,41,180,S,fpC-003841-r4-0180.fit.gz
5.87733399183884E+017,246.6517,35.04503,0.0340572,5.634065,0.9717721,1.520726,3177,5,40,253,S,fpC-003177-r5-0253.fit.gz
5.87736805620253E+017,198.1587,15.63933,0.0853667,5.591696,0.9716112,1.546242,3970,6,40,107,S,fpC-003970-r6-0107.fit.gz
5.88015510347907E+017,10.89892,0.8795,0.0434694,6.936587,0.971196,1.400855,3325,6,41,181,S,fpC-003325-r6-0181.fit.gz
5.87742060538036E+017,189.6742,21.65906,0.0316565,6.470932,0.9711591,1.405757,5194,2,40,493,S,fpC-005194-r2-0493.fit.gz
5.88010358535881E+017,149.1986,3.620972,0.090251,4.653527,0.9709083,1.26992,2126,2,41,200,S,fpC-002126-r2-0200.fit.gz
5.87739706334118E+017,210.515,26.63036,0.0423046,6.374059,0.9708762,1.405929,4646,1,40,112,S,fpC-004646-r1-0112.fit.gz
5.88017702950732E+017,226.8831,8.865278,0.0825771,4.456407,0.9708634,1.207267,3836,2,41,517,S,fpC-003836-r2-0517.fit.gz
5.87736753540236E+017,237.9368,36.22792,0.0661814,6.449533,0.9708204,1.504896,3958,5,40,53,S,fpC-003958-r5-0053.fit.gz
5.87734303264604E+017,327.5208,-1.248389,0.0710641,5.038004,0.9707151,1.31858,3388,1,40,102,S,fpC-003388-r1-0102.fit.gz
5.87727213344654E+017,316.2805,-6.934222,0.0824911,3.135352,0.9705957,0.971332,1737,3,40,61,S,fpC-001737-r3-0061.fit.gz
5.87739810488648E+017,218.0228,23.41147,0.0657039,4.150535,0.9704811,1.192619,4670,3,40,136,S,fpC-004670-r3-0136.fit.gz
5.88016840709899E+017,127.8322,26.61064,0.0975059,5.58651,0.9703736,1.304655,3635,4,41,118,S,fpC-003635-r4-0118.fit.gz
5.87739809958265E+017,233.0699,18.67469,0.0372831,6.842526,0.9703408,1.234337,4670,2,40,235,S,fpC-004670-r2-0235.fit.gz
5.87729387694654E+017,206.1257,58.85714,0.0407233,6.002857,0.9703174,1.322306,2243,5,40,409,S,fpC-002243-r5-0409.fit.gz
5.88011102107665E+017,240.8186,46.98714,0.0428403,6.375653,0.9699358,1.647815,2299,3,41,285,S,fpC-002299-r3-0285.fit.gz
5.87736899039658E+017,246.167,25.93858,0.0632316,8.761519,0.9699015,1.287725,3992,4,40,166,S,fpC-003992-r4-0166.fit.gz
5.88298664655454E+017,211.401,45.5127,0.0927887,3.330337,0.9697285,1.044114,3716,6,42,160,S,fpC-003716-r6-0160.fit.gz
5.87738952032256E+017,207.648,35.35308,0.0780081,5.275734,0.9692433,1.374878,4470,4,40,139,S,fpC-004470-r4-0139.fit.gz
5.8774255121354E+017,210.0062,18.61797,0.0615439,4.678695,0.9690188,1.056574,5308,4,40,119,S,fpC-005308-r4-0119.fit.gz
5.87742188843959E+017,215.7787,20.72333,0.0488631,4.426453,0.9690186,1.144609,5224,1,40,398,S,fpC-005224-r1-0398.fit.gz
5.87731501337084E+017,169.0826,57.35703,0.0513878,8.029593,0.9688406,1.421871,2735,6,40,129,S,fpC-002735-r6-0129.fit.gz
5.87732135379599E+017,160.6239,49.72633,0.0527213,6.024,0.968839,1.346969,2883,3,40,98,S,fpC-002883-r3-0098.fit.gz
5.87738067802587E+017,115.2895,49.39639,0.0306501,9.091839,0.9688002,1.154485,4264,5,40,89,S,fpC-004264-r5-0089.fit.gz
5.87739845390238E+017,233.6993,17.46869,0.0848212,3.944658,0.9687073,1.096746,4678,4,40,212,S,fpC-004678-r4-0212.fit.gz
5.8772786671983E+017,121.0462,40.4125,0.0400851,4.827994,0.968433,1.461867,1889,4,40,111,S,fpC-001889-r4-0111.fit.gz
5.88017705086878E+017,200.7995,13.21944,0.0803867,4.282093,0.9683739,1.211686,3836,6,41,344,S,fpC-003836-r6-0344.fit.gz
5.87727177911829E+017,358.2656,-11.08194,0.0759905,5.784429,0.9681489,1.60037,1729,1,40,71,S,fpC-001729-r1-0071.fit.gz
5.87733441587184E+017,242.4562,40.28339,0.0571836,3.798067,0.9677693,1.112453,3187,4,40,108,S,fpC-003187-r4-0108.fit.gz
5.88017570850996E+017,197.3774,12.31689,0.0633413,5.458604,0.9676905,1.250324,3805,4,41,67,S,fpC-003805-r4-0067.fit.gz
5.87728308562756E+017,162.2762,2.224139,0.035454,6.577888,0.9676805,1.428124,1992,3,40,83,S,fpC-001992-r3-0083.fit.gz
5.87732053237891E+017,122.0172,29.95508,0.0798339,4.965681,0.9676486,1.097213,2864,2,40,91,S,fpC-002864-r2-0091.fit.gz
5.87728308565508E+017,168.6141,2.213778,0.0831938,4.547827,0.9675738,1.186725,1992,3,40,125,S,fpC-001992-r3-0125.fit.gz
5.8801550821399E+017,42.03275,-0.7523056,0.0457911,6.227224,0.9674142,1.281209,3325,2,41,388,S,fpC-003325-r2-0388.fit.gz
5.88017567629115E+017,165.8472,12.82058,0.0465317,6.163385,0.9671867,1.895109,3804,6,41,57,S,fpC-003804-r6-0057.fit.gz
5.87732136989819E+017,158.6055,50.68878,0.0678506,4.471243,0.9671627,1.437668,2883,6,40,92,S,fpC-002883-r6-0092.fit.gz
5.87739646735483E+017,143.5052,24.89514,0.033425,4.817769,0.9666523,1.326228,4632,2,40,21,S,fpC-004632-r2-0021.fit.gz
5.87736545775256E+017,227.482,4.931389,0.0753621,4.154383,0.9665784,1.003157,3910,2,40,115,S,fpC-003910-r2-0115.fit.gz
5.88017979449016E+017,236.4558,28.23964,0.066993,3.699382,0.9664906,1.084903,3900,5,41,666,S,fpC-003900-r5-0666.fit.gz
5.87735661012517E+017,150.8943,36.31744,0.0448498,5.788167,0.9664363,1.29834,3704,2,40,123,S,fpC-003704-r2-0123.fit.gz
